asm	db	cat	N
gallo_v3_metazoa_odb10	metazoa_odb10	T	954
gallo_v3_mollusca_odb10	mollusca_odb10	T	5295
gallo_v4_metazoa_odb10	metazoa_odb10	T	954
gallo_v4_mollusca_odb10	mollusca_odb10	T	5295
gallo_v5_metazoa_odb10	metazoa_odb10	T	954
gallo_v5_mollusca_odb10	mollusca_odb10	T	5295
gallo_v6_metazoa_odb10	metazoa_odb10	T	954
gallo_v6_mollusca_odb10	mollusca_odb10	T	5295
gallo_v7_metazoa_odb10	metazoa_odb10	T	954
gallo_v7_mollusca_odb10	mollusca_odb10	T	5295
edu_v1_metazoa_odb10	metazoa_odb10	T	954
edu_v1_mollusca_odb10	mollusca_odb10	T	5295
edu_v2_metazoa_odb10	metazoa_odb10	T	954
edu_v2_mollusca_odb10	mollusca_odb10	T	5295
edu_v3_metazoa_odb10	metazoa_odb10	T	954
edu_v3_mollusca_odb10	mollusca_odb10	T	5295
edu_v4_metazoa_odb10	metazoa_odb10	T	954
edu_v4_mollusca_odb10	mollusca_odb10	T	5295
edu_v5_metazoa_odb10	metazoa_odb10	T	954
edu_v5_mollusca_odb10	mollusca_odb10	T	5295
edu_v6_metazoa_odb10	metazoa_odb10	T	954
edu_v6_mollusca_odb10	mollusca_odb10	T	5295
edu_v7_metazoa_odb10	metazoa_odb10	T	954
edu_v7_mollusca_odb10	mollusca_odb10	T	5295
tros_v1_metazoa_odb10	metazoa_odb10	T	954
tros_v1_mollusca_odb10	mollusca_odb10	T	5295
tros_v2_metazoa_odb10	metazoa_odb10	T	954
tros_v2_mollusca_odb10	mollusca_odb10	T	5295
tros_v3_metazoa_odb10	metazoa_odb10	T	954
tros_v3_mollusca_odb10	mollusca_odb10	T	5295
tros_v4_metazoa_odb10	metazoa_odb10	T	954
tros_v4_mollusca_odb10	mollusca_odb10	T	5295
tros_v5_metazoa_odb10	metazoa_odb10	T	954
tros_v5_mollusca_odb10	mollusca_odb10	T	5295
tros_v6_metazoa_odb10	metazoa_odb10	T	954
tros_v6_mollusca_odb10	mollusca_odb10	T	5295
tros_v7_metazoa_odb10	metazoa_odb10	T	954
tros_v7_mollusca_odb10	mollusca_odb10	T	5295
coruscus_GCA017311375_metazoa_odb10	metazoa_odb10	T	954
coruscus_GCA017311375_mollusca_odb10	mollusca_odb10	T	5295
gallo_GCA900618805_metazoa_odb10	metazoa_odb10	T	954
gallo_GCA900618805_mollusca_odb10	mollusca_odb10	T	5295
edu_GCA905397895_metazoa_odb10	metazoa_odb10	T	954
edu_GCA905397895_mollusca_odb10	mollusca_odb10	T	5295
eduam_GCA019925415_metazoa_odb10	metazoa_odb10	T	954
eduam_GCA019925415_mollusca_odb10	mollusca_odb10	T	5295
